"client","trial339"
NULL,"T"
"AAREPAPIER","T"
"ABZAC France","T"
"ABZAC LE CROUZET","T"
"ACE","T"
"AGI CLAUDEL","T"
"AHLSTROM-MUNKSJÖ ARCHES","T"
"AIRTECH ","T"
"ALBBRUCK","T"
"ALDO PLASTIC","T"
"ALESCO FOLIEN","T"
"AMER-SIL ","T"
"ARCHIVE EUROPE","T"
"ASF","T"
"AVERY DENNISON","T"
"AYLESFORD","T"
"BERRY PLASTICS","T"
"BFAN","T"
"BILCARE","T"
"BISCHOF UND KLEIN","T"
"Blanchiment des Hautes Vosges","T"
"BLUE PAPER","T"
"BONNE & FILS ","T"
"BRUCHSAL","T"
"BURGO","T"
"CARTASETA","T"
"CASACK","T"
"CASCADES","T"
"CASCO DECOR ","T"
"CEISA PACKAGING","T"
"CHAGUE","T"
"CHAPELLE DARBLAY","T"
"CHATELLES","T"
"CHAUX DE CONTERN","T"
"CLAIREFONTAINE FINITION ","T"
"CLAIREFONTAINE PAPETERIE","T"
"CLIPSO","T"
"CONVERT-LUX","T"
"CORDIER","T"
"COREX BELGIUM","T"
"COREX France","T"
"COREX NORDIC AS","T"
"COREX UK","T"
"CORSE COMPOSITE AERONAUTIQUES","T"
"CROUVEZIER","T"
"DA ALIZAY","T"
"DARAMIC","T"
"DATACOLOR","T"
"DIATECHNOLOGIES","T"
"DOCELLES","T"
"DS SMITH","T"
"DUOPLAST","T"
"DUPONT HYTREL ","T"
"DUPONT KAPTON","T"
"DUPONT TYPAR","T"
"DUPONT TYVEK","T"
"DURAPROOF TECHNOLOGIES","T"
"DÜRRBECK ","T"
"E2P","T"
"EPI-LORMA","T"
"EUROFOAM","T"
"EVERBAL","T"
"EXXON MOBIL","T"
"FACOLUX","T"
"FDT","T"
"FILA ARCHES","T"
"FILATURE ET TISSAGE","T"
"FIVENA","T"
"FLEXICO","T"
"FLEXICO AVALLON","T"
"FLEXIUM","T"
"FREUDENBERG","T"
"FREUDENBERG EVOLON","T"
"FRIPA","T"
"FULFLEX","T"
"GEMDOUBS","T"
"GLANZSTOFF LONGLAVILLE","T"
"GORDO PACK","T"
"GRUPPO CORDENONS","T"
"HAMMERL GmbH","T"
"HERMA","T"
"HOFFMANN & ENGELMANN","T"
"I.R. COD'ETIQ","T"
"INTERNATIONAL PAPER","T"
"IVC WILTZ","T"
"J.M. PLASTIC","T"
"JASS FULDA","T"
"JASS SCHWARZA","T"
"JEAN D'HEURS ","T"
"JULIUS GLATZ","T"
"K&M PAPIER","T"
"KAPPA WIESLOCH PAPIER","T"
"KIMBERLY CLARK","T"
"KLÖCKNER PENTAPLAST","T"
"LAHNSTEIN ","T"
"LANA","T"
"LE FEUTRE","T"
"LE JACQUARD Français","T"
"LEINFELDER ","T"
"LEIPA","T"
"LES PAPIERS DU SOUCHE (ADAPACK)","T"
"LONY","T"
"LOW & BONAR","T"
"M&F RAMBERVILLERS ","T"
"MAILLE VERTE","T"
"Martin Guillemin Papeterie","T"
"MELTHOUSE","T"
"MET-LUX","T"
"METTLER","T"
"MEYLAN 50 (TÜRCKHEIM)","T"
"MICHELMAN","T"
"MIMA","T"
"MOBIL PLASTICS","T"
"MOCHENWANGEN","T"
"MODEL","T"
"MONDI","T"
"MONDI STETI","T"
"MONDO","T"
"M-REAL ZANDERS","T"
"MUNKSJO ","T"
"NAUE","T"
"NEENAH-LAHNSTEIN","T"
"NORDLAND","T"
"NORSKE SKOG GOLBEY","T"
"NORSKE SKOG SAUGBRUGS","T"
"NORSKE SKOG WALSUM","T"
"NOVATISSUE","T"
"OWENS CORNING","T"
"PALM AALEN","T"
"PALM ELTMANN","T"
"PALM WÖRTH","T"
"PAP. De RAON","T"
"PAPETERIE DE MANDEURE","T"
"PAPETERIES DES VOSGES","T"
"PAPETERIES DU CIRON","T"
"PAPETERIES PALM","T"
"PAPETERIES TURCKHEIM","T"
"PAPIER LENK","T"
"PARENCO","T"
"PARMENTELAT","T"
"PELTEX","T"
"PERLEN PAPIER","T"
"PFLEIDERER","T"
"PKV","T"
"PLASTEX","T"
"RAON CIRCULAR REGENERATION","T"
"REBORN VOSGES","T"
"RENOLIT ","T"
"RENOLIT SCHWEIZ","T"
"RENOLIT WORMS","T"
"RHEIN PAPIER","T"
"RIEGER","T"
"RIEGER GELSENKIRCHEN","T"
"RKW ACE","T"
"RKW ECHTE","T"
"RKW HERSBRUCK ","T"
"RKW NORDHORN","T"
"RKW PETERSAURACH ","T"
"ROSSMANN","T"
"RUMA","T"
"S.A.A","T"
"S.P.E","T"
"SAICA FLEX Luxembourg","T"
"SAPPI ALFELD","T"
"SAPPI EHINGEN ","T"
"SAPPI LANAKEN","T"
"SAPPI MAASTRICHT","T"
"SAPPI SCHWEIZ","T"
"SAPPI STOCKSTADT","T"
"SB IMPRIMEURS","T"
"SCA HYGIENE MANNHEIM","T"
"SCA PACKAGING CONTAINERBOARD","T"
"SCHEUFELEN ","T"
"SCHLEIPEN","T"
"SCHLESWIGER","T"
"SCHNEIDER-FOLIEN","T"
"SCHOLLERSHAMMER","T"
"SIGNODE","T"
"SIHL","T"
"SMURFIT","T"
"SMURFIT KAPPA","T"
"SMURFIT ZULPICH","T"
"STENPA","T"
"STORA ENSO","T"
"STRACEL","T"
"SÜDPACK","T"
"TARKETT GDL SA","T"
"TARKETT SOMMER ","T"
"TDK","T"
"THURPAPIER","T"
"TREOFAN","T"
"TREOFAN GERMANY","T"
"UNIDUR ","T"
"UNITED SPRINGS","T"
"UPM AUGSBURG","T"
"UPM SCHWEDT","T"
"UPM SHOTTON","T"
"UPM STEYRERMUHL","T"
"UPM-CALEDONIAN PAPER","T"
"UP'TEXTILE","T"
"UTZENSTORF PAPIERFABRIK","T"
"VICAT","T"
"VPK PAPER","T"
"VPK PAPER NORMANDIE","T"
"WENTUS","T"
"WIPAK WALSRODE","T"
"WOODLOG","T"
